Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
SY625G_4-8_k141_2392000_length_9251_cov_80.0000_5,178,CDD,cd06583,PGRP,26,156,1.3608E-21,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY625G_4-8_k141_3593931_length_11990_cov_10.0000_17,158,CDD,cd06583,PGRP,4,145,1.52926E-19,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY625G_4-8_k141_5799175_length_43285_cov_16.9967_29,179,CDD,cd02696,MurNAc-LAA,2,163,1.04868E-16,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
SY625G_4-8_k141_718229_length_35440_cov_50.0000_15,381,CDD,cd00737,lyz_endolysin_autolysin,239,378,2.49435E-63,IPR033907,Endolysin/autolysin,GO:0003796(InterPro),-
SY625G_8-12_k141_2013306_length_231540_cov_22.0004_54,503,SMART,SM00646,ami_3,331,494,1.2E-39,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
SY626-W_contigs_1000bp_new_k141_1448295_length_153565_cov_72.9831_26,279,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,23,191,1.5E-23,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY626-W_contigs_1000bp_new_k141_1933088_length_10854_cov_26.5578_9,144,CDD,cd06583,PGRP,21,113,2.23574E-16,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY626D_0-4_k141_1492076_length_60151_cov_11.8671_88,288,CDD,cd02696,MurNAc-LAA,65,278,2.09499E-15,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
SY626D_0-4_k141_3187994_length_26150_cov_8.0000_20,323,CDD,cd06583,PGRP,134,258,1.36565E-10,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY626D_16-20_k141_1484964_length_45746_cov_43.0009_50,282,Pfam,PF01520,N-acetylmuramoyl-L-alanine amidase,4,179,1.2E-14,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
SY626D_24-28_k141_1358832_length_5562_cov_11.0000_9,179,SMART,SM00047,Lysozyme_4,5,148,1E-18,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
SY626D_24-28_k141_1690303_length_20886_cov_10.0000_20,179,CDD,cd02696,MurNAc-LAA,5,166,1.01476E-32,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
SY626D_24-28_k141_963450_length_9569_cov_7.0000_1,365,CDD,cd00118,LysM,5,46,1.47722E-09,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
SY626D_4-8_k141_660297_length_13429_cov_31.0341_3,218,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,20,142,1.5E-18,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY627H_16-20_k141_1496785_length_36574_cov_10.0000_18,204,SMART,SM00644,ami_2,14,178,6.9E-18,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY627H_16-20_k141_2705809_length_21518_cov_8.0000_13,354,SMART,SM00257,LysM_2,91,136,0.00000014,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
SY627H_20-24_k141_2042252_length_60428_cov_24.0000_9,220,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,18,140,1.4E-11,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY628I_0-4_k141_903386_length_6564_cov_9.0000_9,533,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,372,518,1.9E-16,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY628I_12-16_k141_1662092_length_6744_cov_11.0000_2,218,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,22,186,3.4E-09,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
SY628I_12-16_k141_941893_length_5210_cov_25.5396_4,233,CDD,cd06583,PGRP,77,209,1.31957E-10,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
